zoneID	money	freq
48001	13900.0	16
48002	0	0
48003	750.0	1
48005	1000.0	1
48006	0	0
48009	317988.0	451
48014	0	0
48015	2000.0	2
48017	1300.0	4
48021	1750.0	5
48022	500.0	1
48023	0	0
48025	234680.0	294
48026	0	0
48027	0	0
48028	250.0	1
48030	400.0	2
48032	0	0
48034	92228.0	133
48035	3600.0	4
48036	2500.0	10
48038	4150.0	13
48039	500.0	1
48040	0	0
48041	0	0
48042	500.0	2
48043	7450.0	10
48044	500.0	1
48045	4470.0	8
48047	3400.0	8
48048	0	0
48049	0	0
48050	500.0	1
48051	0	0
48054	1000.0	1
48059	7250.0	12
48060	250.0	1
48062	200.0	1
48063	0	0
48064	0	0
48065	1000.0	2
48066	199200.0	159
48067	30074.0	52
48069	9450.0	20
48070	48559.0	103
48071	7800.0	13
48072	13950.0	17
48073	19585.0	52
48074	0	0
48075	36050.0	43
48076	12350.0	22
48079	250.0	1
48080	4950.0	7
48081	9200.0	13
48082	2250.0	3
48083	12550.0	15
48084	28400.0	45
48089	25950.0	16
48091	6800.0	5
48092	4000.0	9
48093	4760.0	18
48094	2700.0	5
48095	12100.0	6
48096	0	0
48097	0	0
48098	36900.0	60
480HH	0	0
48101	12430.0	19
48103	256804.0	455
48104	209695.0	328
48105	215825.0	333
48108	26225.0	49
48109	750.0	2
48111	5450.0	15
48114	8950.0	16
48116	34325.0	65
48117	1000.0	1
48118	12800.0	26
48120	6450.0	9
48122	0	0
48124	21550.0	35
48125	250.0	1
48126	22300.0	32
48127	26650.0	36
48128	2100.0	5
48130	35450.0	51
48131	0	0
48133	0	0
48134	500.0	1
48135	750.0	3
48137	200.0	1
48138	23300.0	33
48139	0	0
48140	0	0
48141	2510.0	2
48143	200.0	1
48144	1000.0	1
48145	0	0
48146	0	0
48150	22950.0	31
48152	14625.0	31
48154	8975.0	21
48157	0	0
48158	5850.0	11
48159	0	0
48160	700.0	2
48161	750.0	3
48162	1750.0	4
48164	0	0
48165	0	0
48166	250.0	1
48167	52631.0	81
48169	2150.0	8
48170	90131.0	92
48173	1500.0	1
48174	2000.0	1
48176	23321.0	43
48178	2800.0	8
48179	0	0
48180	5900.0	7
48182	550.0	2
48183	4000.0	9
48184	1000.0	1
48185	500.0	1
48186	500.0	2
48187	24458.0	46
48188	19385.0	52
48189	1900.0	4
48190	0	0
48191	300.0	1
48192	1750.0	3
48195	250.0	1
48197	13023.0	32
48198	8500.0	18
481HH	0	0
48201	63158.0	40
48202	22850.0	34
48203	24208.0	39
48204	2450.0	6
48205	0	0
48206	2750.0	3
48207	28419.0	36
48208	800.0	2
48209	2500.0	3
48210	0	0
48211	4250.0	6
48212	9850.0	5
48213	10350.0	6
48214	30450.0	34
48215	11100.0	14
48216	500.0	1
48217	0	0
48218	0	0
48219	6800.0	15
48220	1700.0	4
48221	19305.0	29
48223	2650.0	6
48224	7265.0	8
48225	9850.0	11
48226	94618.0	89
48227	1950.0	5
48228	0	0
48229	0	0
48230	92625.0	136
48234	7800.0	6
48235	3500.0	7
48236	148105.0	160
48237	28950.0	35
48238	2000.0	2
48239	2350.0	6
48240	500.0	1
48242	500.0	1
482HH	0	0
48301	195122.0	288
48302	221089.0	325
48304	317378.0	376
48306	39282.0	54
48307	15130.0	39
48309	20650.0	37
48310	5650.0	12
48312	1825.0	4
48313	1350.0	4
48314	8200.0	15
48315	63500.0	53
48316	11650.0	14
48317	10550.0	6
48320	2700.0	6
48322	135041.0	204
48323	165308.0	251
48324	44481.0	75
48326	7500.0	15
48327	1450.0	4
48328	9550.0	14
48329	4850.0	7
48331	39300.0	51
48334	156489.0	177
48335	21184.0	27
48336	18975.0	23
48340	2000.0	4
48341	1750.0	3
48342	0	0
48346	500.0	1
48348	5550.0	14
48350	300.0	1
48353	400.0	2
48356	0	0
48357	3000.0	8
48359	500.0	1
48360	2050.0	6
48362	2250.0	5
48363	65400.0	62
48367	2900.0	2
48370	0	0
48371	2950.0	6
48374	29600.0	56
48375	9900.0	16
48377	18575.0	25
48380	5800.0	10
48381	18150.0	22
48382	5050.0	8
48383	1300.0	3
48386	2500.0	5
48390	17209.0	25
48393	1050.0	3
483HH	0	0
48401	0	0
48412	0	0
48413	0	0
48414	3150.0	4
48415	505.0	2
48416	0	0
48417	0	0
48418	1000.0	1
48419	0	0
48420	250.0	1
48421	500.0	1
48422	0	0
48423	3650.0	8
48426	0	0
48427	0	0
48428	250.0	1
48429	0	0
48430	34875.0	39
48432	0	0
48433	15400.0	30
48434	0	0
48435	0	0
48436	0	0
48437	0	0
48438	3250.0	8
48439	35760.0	69
48440	0	0
48441	5000.0	3
48442	1000.0	1
48444	200.0	1
48445	0	0
48446	0	0
48449	0	0
48450	0	0
48451	2500.0	5
48453	0	0
48454	0	0
48455	2800.0	3
48456	0	0
48457	0	0
48458	0	0
48460	0	0
48461	500.0	1
48462	0	0
48463	0	0
48464	0	0
48465	0	0
48466	0	0
48467	0	0
48468	0	0
48469	0	0
48470	0	0
48471	0	0
48472	0	0
48473	2650.0	6
48475	0	0
48476	0	0
484HH	0	0
48502	11825.0	10
48503	5750.0	15
48504	2750.0	7
48505	0	0
48506	500.0	1
48507	6950.0	13
48509	600.0	1
48519	250.0	1
48529	0	0
48532	15800.0	27
485HH	0	0
48601	2050.0	5
48602	1250.0	4
48603	13290.0	21
48604	250.0	1
48607	0	0
48609	2250.0	5
48610	0	0
48611	0	0
48612	250.0	1
48613	0	0
48614	0	0
48615	0	0
48616	0	0
48617	0	0
48618	0	0
48619	0	0
48620	0	0
48621	0	0
48622	0	0
48623	1200.0	3
