zoneID	money	freq
63005	185992.0	214
63010	17250.0	33
63011	25140.0	44
63012	2450.0	8
63013	0	0
63014	0	0
63015	2300.0	3
63016	2900.0	4
63017	177848.0	250
63019	1500.0	2
63020	5030.0	14
63021	32110.0	62
63023	0	0
63025	16000.0	28
63026	16750.0	28
63028	31175.0	58
63030	0	0
63031	1004.0	3
63033	2600.0	10
63034	1000.0	1
63036	200.0	1
63037	475.0	2
63038	29700.0	38
63039	0	0
63040	2600.0	7
63041	0	0
63042	700.0	2
63043	18130.0	21
63044	47950.0	39
63048	0	0
63049	6000.0	6
63050	1500.0	3
63051	600.0	2
63052	1750.0	7
63055	500.0	2
63056	0	0
63060	1100.0	4
63061	0	0
63068	3500.0	8
63069	1950.0	4
63070	0	0
63071	0	0
63072	7450.0	4
63074	500.0	2
63077	0	0
63080	12600.0	13
63084	16850.0	16
63087	0	0
63088	500.0	2
63089	500.0	1
63090	47700.0	79
63091	250.0	1
630HH	0	0
63101	49551.0	53
63102	21500.0	22
63103	6200.0	11
63104	9250.0	11
63105	440252.0	421
63106	2400.0	1
63107	0	0
63108	88460.0	88
63109	29678.0	44
63110	11600.0	15
63111	950.0	3
63112	10200.0	16
63113	2400.0	1
63114	3000.0	3
63115	0	0
63116	7650.0	13
63117	57201.0	76
63118	19101.0	21
63119	83816.0	121
63120	0	0
63121	0	0
63122	128906.0	163
63123	15538.0	35
63124	901862.0	831
63125	6080.0	17
63126	15050.0	20
63127	44300.0	60
63128	24462.0	59
63129	27841.0	52
63130	60425.0	85
63131	639572.0	610
63132	53350.0	77
63133	1000.0	2
63134	0	0
63135	200.0	1
63136	8650.0	7
63137	2800.0	5
63138	8300.0	7
63139	13810.0	20
63140	0	0
63141	424719.0	412
63143	1750.0	3
63144	42508.0	50
63146	38297.0	32
63147	0	0
631HH	0	0
63301	84285.0	81
63303	38005.0	55
63304	81050.0	79
63330	0	0
63332	500.0	1
63333	0	0
63334	250.0	1
63336	923.0	3
63339	0	0
63341	3151.0	8
63343	4000.0	7
63344	0	0
63345	0	0
63347	0	0
63348	7850.0	15
63349	2715.0	8
63350	0	0
63351	500.0	2
63352	0	0
63353	500.0	1
63357	7050.0	6
63359	0	0
63361	0	0
63362	0	0
63363	16800.0	13
63366	11500.0	13
63367	51267.0	76
63369	0	0
63370	0	0
63373	0	0
63376	66105.0	45
63377	0	0
63379	6000.0	5
63381	0	0
63382	0	0
63383	1450.0	3
63384	0	0
63385	5250.0	10
63386	0	0
63387	0	0
63388	0	0
63389	0	0
63390	3201.0	4
633HH	0	0
63401	21420.0	32
63430	0	0
63431	0	0
63432	0	0
63433	0	0
63434	0	0
63435	18250.0	10
63436	0	0
63437	500.0	1
63438	0	0
63439	0	0
63440	3000.0	2
63441	0	0
63443	0	0
63445	1000.0	1
63446	0	0
63447	250.0	1
63448	2300.0	7
63450	0	0
63451	0	0
63452	200.0	1
63453	0	0
63454	0	0
63456	3250.0	10
63457	0	0
63458	0	0
63459	1050.0	5
63460	500.0	1
63461	250.0	1
63462	0	0
63463	0	0
63464	0	0
63465	0	0
63468	4122.0	6
63469	0	0
63471	2000.0	6
63472	0	0
63473	450.0	2
63474	0	0
634HH	0	0
63501	7817.0	16
63530	500.0	1
63531	250.0	1
63532	1000.0	2
63533	1000.0	1
63534	500.0	1
63535	0	0
63536	0	0
63537	1250.0	5
63538	0	0
63539	0	0
63540	0	0
63541	0	0
63543	0	0
63544	0	0
63545	0	0
63546	0	0
63547	0	0
63548	0	0
63549	500.0	1
63551	0	0
63552	6215.0	14
63555	650.0	1
63556	200.0	1
63557	250.0	1
63558	0	0
63559	0	0
63560	0	0
63561	0	0
63563	0	0
63565	0	0
63566	0	0
63567	0	0
635HH	0	0
63601	3900.0	12
63620	1250.0	2
63621	650.0	3
63622	0	0
63623	0	0
63624	0	0
63625	0	0
63626	0	0
63627	1000.0	1
63628	15250.0	9
63629	0	0
63630	500.0	1
63631	0	0
63633	2400.0	1
63636	0	0
63637	0	0
63638	4900.0	13
63640	25300.0	47
63645	1450.0	4
63648	0	0
63650	200.0	1
63653	0	0
63654	0	0
63655	0	0
63656	0	0
63660	0	0
63662	0	0
63663	0	0
63664	1000.0	3
63665	0	0
63670	3400.0	7
63673	700.0	2
63674	0	0
63675	0	0
636HH	0	0
63701	174548.0	201
63703	17525.0	28
63730	0	0
63732	0	0
63735	0	0
63736	6998.0	8
63738	0	0
63739	0	0
63740	250.0	1
63742	0	0
63743	0	0
63747	0	0
63748	500.0	1
63750	0	0
63751	1830.0	9
63753	0	0
63755	23280.0	32
63758	2900.0	2
63760	0	0
63763	0	0
63764	800.0	4
63766	12600.0	8
63767	0	0
63769	0	0
63770	0	0
63771	0	0
63774	0	0
63775	24450.0	43
63780	700.0	2
63781	200.0	1
63782	0	0
63783	0	0
63784	0	0
63785	0	0
63787	0	0
637HH	0	0
63801	117711.0	168
63820	0	0
63821	1500.0	1
63822	8200.0	11
63823	0	0
63824	0	0
63825	4800.0	2
63826	500.0	2
63827	0	0
63828	0	0
63829	0	0
63830	6850.0	13
63833	0	0
63834	6055.0	15
63837	0	0
63839	0	0
63841	19600.0	41
63845	2000.0	4
63846	815.0	3
63847	0	0
63848	450.0	2
63849	0	0
63850	0	0
63851	2200.0	4
63852	2500.0	3
63853	0	0
63855	1850.0	6
63857	42130.0	67
63860	0	0
63862	500.0	1
63863	1700.0	4
63866	250.0	1
63867	500.0	2
63868	250.0	1
63869	16500.0	22
63870	2400.0	4
63873	9000.0	14
63874	0	0
63876	3500.0	6
63877	5250.0	11
63878	0	0
63879	0	0
63880	0	0
63882	0	0
638HH	0	0
