zoneID	money	freq
59001	2000.0	1
59002	0	0
59003	0	0
59006	0	0
59007	0	0
59008	0	0
59010	0	0
59011	4900.0	9
59012	0	0
59013	0	0
59014	1000.0	3
59015	250.0	1
59016	1500.0	2
59018	0	0
59019	3000.0	4
59020	0	0
59022	0	0
59024	0	0
59025	0	0
59026	0	0
59027	0	0
59028	0	0
59029	0	0
59030	0	0
59031	0	0
59032	0	0
59033	0	0
59034	200.0	1
59035	0	0
59036	0	0
59037	0	0
59038	0	0
59039	0	0
59041	2000.0	2
59043	0	0
59044	8708.0	14
59046	0	0
59047	2150.0	6
59050	0	0
59052	300.0	1
59053	4050.0	7
59054	250.0	1
59055	250.0	1
59057	0	0
59058	0	0
59059	0	0
59061	0	0
59062	1194.0	5
59063	250.0	1
59064	0	0
59065	0	0
59066	0	0
59067	0	0
59068	3422.0	9
59069	0	0
59070	3500.0	4
59071	0	0
59072	700.0	3
59074	0	0
59075	0	0
59076	0	0
59077	0	0
59078	250.0	1
59079	0	0
59081	0	0
59085	200.0	1
59086	0	0
59087	0	0
59088	2500.0	4
59089	0	0
590HH	0	0
590XX	0	0
59101	22433.0	39
59102	49478.0	114
59105	3900.0	5
59106	48921.0	72
59201	200.0	1
59211	0	0
59212	0	0
59213	0	0
59214	0	0
59215	0	0
59217	0	0
59218	0	0
59219	0	0
59221	0	0
59222	0	0
59223	844.0	1
59225	0	0
59226	0	0
59230	1000.0	2
59231	0	0
59241	500.0	2
59242	0	0
59243	0	0
59244	0	0
59247	0	0
59248	0	0
59250	0	0
59252	0	0
59253	0	0
59254	2250.0	5
59255	750.0	3
59257	0	0
59258	0	0
59259	0	0
59260	0	0
59261	0	0
59262	0	0
59263	500.0	1
59270	4200.0	14
59274	500.0	1
59275	0	0
59276	250.0	1
592HH	0	0
59301	2400.0	7
59311	1050.0	4
59313	500.0	1
59314	0	0
59315	0	0
59317	0	0
59318	0	0
59322	0	0
59323	500.0	2
59324	0	0
59326	0	0
59327	0	0
59330	250.0	1
59332	0	0
59333	0	0
59336	0	0
59337	0	0
59338	0	0
59339	0	0
59343	0	0
59344	400.0	1
59347	0	0
59348	0	0
59349	0	0
59351	0	0
59353	250.0	1
59354	0	0
593HH	0	0
593XX	0	0
59401	250.0	1
59404	6750.0	9
59405	5950.0	10
59410	0	0
59411	0	0
59412	0	0
59414	0	0
59416	225.0	1
59417	0	0
59419	750.0	3
59420	0	0
59421	0	0
59422	0	0
59424	0	0
59425	5950.0	14
59427	1150.0	5
59430	0	0
59432	0	0
59433	750.0	2
59434	0	0
59436	0	0
59440	0	0
59441	0	0
59442	750.0	2
59443	500.0	1
59444	0	0
59446	0	0
59447	300.0	1
59448	0	0
59450	410.0	2
59451	0	0
59452	0	0
59453	250.0	1
59454	0	0
59456	400.0	2
59457	670.0	3
59460	520.0	2
59462	0	0
59463	0	0
59464	0	0
59465	0	0
59466	0	0
59467	260.0	1
59468	250.0	1
59469	0	0
59471	0	0
59472	0	0
59474	3010.0	4
59477	0	0
59479	200.0	1
59480	0	0
59482	0	0
59483	0	0
59484	0	0
59485	0	0
59486	1350.0	3
59487	0	0
594HH	0	0
594XX	0	0
59501	3950.0	9
59520	733.0	1
59521	0	0
59522	0	0
59523	1410.0	5
59524	0	0
59525	250.0	1
59526	0	0
59527	0	0
59528	0	0
59529	0	0
59530	0	0
59531	0	0
59532	0	0
59535	0	0
59537	0	0
59538	500.0	2
59540	0	0
59542	0	0
59544	0	0
59545	0	0
59546	0	0
59547	0	0
595HH	0	0
59601	11745.0	32
59602	2500.0	9
59631	0	0
59632	0	0
59633	0	0
59634	800.0	3
59635	2550.0	4
59636	0	0
59638	0	0
59639	0	0
59640	0	0
59642	0	0
59643	0	0
59644	1400.0	3
59645	2500.0	3
59648	600.0	3
596HH	0	0
596XX	0	0
59701	4282.0	15
59710	0	0
59711	450.0	2
59713	0	0
59714	10325.0	11
59715	68046.0	82
59716	11500.0	12
59718	7650.0	15
59720	2650.0	2
59721	0	0
59722	0	0
59725	3960.0	8
59727	0	0
59728	0	0
59729	0	0
59730	0	0
59731	0	0
59733	0	0
59735	250.0	1
59736	500.0	1
59739	0	0
59740	0	0
59741	1000.0	1
59743	0	0
59745	0	0
59746	0	0
59747	450.0	2
59748	0	0
59749	1100.0	1
59750	0	0
59751	0	0
59752	0	0
59754	2554.0	3
59755	0	0
59756	0	0
59758	500.0	1
59759	0	0
59761	0	0
59762	0	0
597HH	0	0
597XX	0	0
59801	8349.0	16
59802	5245.0	16
59803	9950.0	15
59804	2585.0	4
59808	7900.0	9
59820	0	0
59821	0	0
59823	500.0	2
59824	250.0	1
59825	0	0
59826	1000.0	1
59827	0	0
59828	400.0	2
59829	5300.0	7
59831	500.0	1
59832	0	0
59833	4830.0	10
59834	250.0	1
59836	0	0
59837	0	0
59840	4605.0	15
59841	0	0
59842	0	0
59843	0	0
59844	0	0
59845	0	0
59846	0	0
59847	250.0	1
59848	0	0
59851	0	0
59853	0	0
59854	0	0
59855	0	0
59858	1000.0	1
59859	3750.0	5
59860	1350.0	5
59864	250.0	1
59865	0	0
59866	200.0	1
59867	0	0
59868	0	0
59870	8700.0	14
59871	0	0
59872	0	0
59873	750.0	3
59874	0	0
59875	1000.0	4
598HH	0	0
598XX	0	0
59901	21224.0	45
59910	0	0
59911	5450.0	13
59912	5335.0	13
59913	0	0
59914	2250.0	5
59915	0	0
59916	0	0
59917	750.0	3
59918	0	0
59919	0	0
59920	0	0
59921	0	0
59922	900.0	2
59923	0	0
59925	0	0
59926	0	0
59927	0	0
59928	0	0
59929	0	0
59930	0	0
59931	0	0
59932	920.0	4
59933	0	0
59934	0	0
59935	0	0
59936	250.0	1
59937	15265.0	31
599HH	0	0
