zoneID	money	freq
03031	65425.0	104
03032	18950.0	34
03033	10976.0	19
03034	7950.0	8
03036	1750.0	6
03037	13150.0	19
03038	10640.0	27
03042	0	0
03043	450.0	2
03044	500.0	1
03045	36050.0	40
03047	2005.0	6
03048	2900.0	2
03049	165720.0	131
03051	24850.0	42
03052	5450.0	7
03053	25600.0	43
03054	24916.0	50
03055	22926.0	30
03057	5343.0	9
03060	30700.0	47
03062	83964.0	92
03063	60447.0	81
03064	32875.0	51
03070	6000.0	12
03071	250.0	1
03076	3250.0	6
03077	1950.0	4
03079	18429.0	32
03082	1000.0	3
03084	1000.0	2
03086	17570.0	15
03087	40120.0	74
030HH	0	0
03101	54591.0	85
03102	23300.0	35
03103	73261.0	68
03104	184750.0	240
03106	23200.0	37
03109	13130.0	23
03110	457173.0	567
031HH	0	0
03215	0	0
03216	0	0
03217	0	0
03218	500.0	2
03220	3500.0	5
03221	500.0	2
03222	4550.0	4
03223	500.0	1
03224	13060.0	15
03225	2355.0	5
03226	5350.0	10
03227	2550.0	5
03229	59950.0	49
03230	0	0
03233	1000.0	1
03234	6621.0	10
03235	2150.0	5
03237	0	0
03240	1000.0	3
03241	700.0	2
03242	8350.0	10
03243	2000.0	1
03244	3550.0	7
03246	6950.0	11
03251	850.0	3
03253	20500.0	42
03254	21578.0	25
03255	7600.0	11
03256	250.0	1
03257	37055.0	69
03259	0	0
03260	0	0
03261	7775.0	9
03262	0	0
03263	500.0	1
03264	750.0	2
03266	1500.0	3
03268	0	0
03269	1000.0	3
03273	0	0
03275	1000.0	3
03276	500.0	2
03278	11350.0	9
03279	1613.0	9
03280	0	0
03281	2500.0	7
03282	0	0
03284	0	0
03287	5500.0	8
03290	800.0	2
03291	0	0
032HH	0	0
032XX	0	0
03301	74020.0	94
03303	28250.0	21
03304	37850.0	58
03307	15351.0	12
033HH	0	0
03431	37117.0	45
03440	0	0
03441	0	0
03442	2000.0	6
03443	200.0	1
03444	47164.0	72
03445	1000.0	3
03446	2900.0	10
03447	0	0
03448	0	0
03449	2100.0	5
03450	2500.0	4
03451	0	0
03452	5800.0	9
03455	23150.0	15
03456	0	0
03457	0	0
03458	66150.0	75
03461	3575.0	7
03462	1000.0	4
03464	1000.0	1
03465	0	0
03466	0	0
03467	1000.0	2
03470	0	0
034HH	0	0
03561	19175.0	41
03570	21700.0	11
03574	2750.0	4
03576	300.0	1
03579	1000.0	1
03580	3900.0	10
03581	1000.0	1
03582	0	0
03583	0	0
03584	0	0
03585	3650.0	4
03588	0	0
03590	0	0
03592	0	0
03595	1500.0	5
03598	750.0	2
035HH	0	0
035XX	0	0
03601	0	0
03602	3400.0	4
03603	0	0
03605	1250.0	3
03607	0	0
03608	4723.0	15
03609	0	0
036HH	0	0
03741	0	0
03743	4125.0	7
03745	300.0	1
03748	200.0	1
03750	83350.0	45
03751	5800.0	3
03752	0	0
03753	1750.0	4
03755	57100.0	56
03765	2900.0	2
03766	4675.0	10
03768	25600.0	50
03770	0	0
03771	2400.0	1
03773	18200.0	11
03774	500.0	1
03777	4750.0	9
03779	0	0
03780	0	0
03781	250.0	1
03782	31675.0	27
03784	3650.0	6
03785	0	0
037HH	0	0
03801	123643.0	167
03809	44550.0	39
03810	5900.0	11
03811	3850.0	9
03812	0	0
03813	1000.0	3
03814	0	0
03815	0	0
03816	1035.0	3
03817	0	0
03818	5350.0	9
03819	500.0	1
03820	32775.0	35
03824	13550.0	23
03825	4200.0	10
03826	500.0	1
03827	1250.0	4
03830	2500.0	4
03832	0	0
03833	59400.0	100
03835	0	0
03836	2580.0	5
03837	0	0
03838	3200.0	4
03839	0	0
03840	13250.0	20
03841	3875.0	6
03842	31400.0	40
03844	12950.0	15
03845	2450.0	4
03846	10650.0	22
03848	2550.0	5
03849	500.0	1
03852	0	0
03853	3450.0	9
03854	43377.0	64
03855	1250.0	3
03856	3000.0	5
03857	20450.0	29
03858	250.0	1
03860	5300.0	10
03862	41250.0	56
03864	900.0	3
03865	1000.0	2
03867	8050.0	12
03868	4900.0	5
03869	3600.0	6
03870	184742.0	143
03872	2550.0	3
03873	500.0	2
03874	14349.0	26
03875	250.0	1
03878	5000.0	3
03882	0	0
03883	250.0	1
03884	700.0	3
03885	49650.0	68
03886	2000.0	2
03887	0	0
03894	46746.0	55
03897	0	0
038HH	0	0
