zoneID	money	freq
89001	0	0
89003	0	0
89004	2250.0	6
89005	70430.0	58
89007	0	0
89008	0	0
89010	0	0
89011	24450.0	24
89012	49410.0	67
89013	0	0
89014	145533.0	123
89015	25850.0	26
89017	0	0
89018	0	0
89019	7200.0	5
89020	0	0
89021	0	0
89022	0	0
89024	1700.0	5
89025	0	0
89027	550.0	2
89028	8016.0	8
89029	39900.0	30
89030	51821.0	7
89031	28690.0	23
89032	16500.0	14
89039	0	0
89040	0	0
89042	0	0
89043	0	0
89046	3900.0	6
89047	2000.0	1
89048	900.0	3
89049	0	0
89052	231750.0	218
890HH	0	0
890XX	0	0
89101	117450.0	106
89102	107800.0	112
89103	36620.0	43
89104	30550.0	35
89106	37150.0	37
89107	75425.0	72
89108	26685.0	21
89109	265952.0	215
89110	8380.0	14
89113	135982.0	110
89115	0	0
89117	245602.0	277
89118	35300.0	31
89119	120858.0	89
89120	84095.0	74
89121	40945.0	59
89122	2750.0	5
89123	30250.0	43
89124	0	0
89128	50510.0	68
89129	73848.0	77
89130	13800.0	19
89131	43300.0	53
89134	212920.0	220
89135	263841.0	258
89139	22950.0	20
89141	48000.0	38
89142	1500.0	2
89143	5350.0	7
89144	167000.0	145
89145	173830.0	130
89146	37500.0	49
89147	40650.0	41
89148	27200.0	31
89149	25950.0	32
89156	4550.0	12
89191	0	0
891XX	0	0
89301	0	0
89310	0	0
89311	0	0
89314	0	0
89316	0	0
89317	0	0
89318	0	0
893HH	0	0
893XX	0	0
89403	0	0
89404	0	0
89405	0	0
89406	250.0	1
89408	700.0	3
89409	0	0
89410	3000.0	2
89411	300.0	1
89413	18650.0	17
89414	0	0
89415	0	0
89418	0	0
89419	0	0
89420	0	0
89421	0	0
89422	0	0
89423	1250.0	5
89424	0	0
89425	250.0	1
89426	0	0
89427	0	0
89428	0	0
89429	0	0
89430	0	0
89431	9250.0	12
89433	0	0
89434	2950.0	4
89436	25100.0	19
89439	3800.0	5
89440	700.0	3
89442	500.0	1
89444	0	0
89445	5100.0	6
89447	700.0	3
89448	14014.0	32
89449	21050.0	27
89451	25400.0	25
894HH	0	0
894XX	0	0
89501	45400.0	49
89502	12050.0	23
89503	12100.0	34
89506	1250.0	2
89509	100800.0	144
89510	1150.0	4
89511	69050.0	75
89512	250.0	1
89523	13900.0	28
895XX	0	0
89701	1470.0	5
89703	31341.0	41
89704	3000.0	5
89705	2100.0	5
89706	1250.0	6
897HH	0	0
897XX	0	0
89801	750.0	5
89803	3250.0	6
89815	1000.0	1
89820	0	0
89821	0	0
89822	0	0
89823	0	0
89824	0	0
89825	0	0
89826	0	0
89828	0	0
89830	0	0
89831	0	0
89832	0	0
89833	0	0
89834	0	0
89835	0	0
89883	0	0
898XX	0	0
