zoneID	money	freq
43001	0	0
43002	0	0
43003	0	0
43004	30975.0	43
43005	0	0
43006	0	0
43008	0	0
43009	0	0
43010	0	0
43011	500.0	1
43013	0	0
43014	0	0
43015	66100.0	80
43016	48700.0	69
43017	135964.0	205
43018	0	0
43019	8250.0	8
43021	18300.0	26
43022	0	0
43023	43150.0	57
43025	10100.0	5
43026	37455.0	58
43028	1950.0	5
43029	0	0
43031	500.0	2
43032	0	0
43033	0	0
43035	13650.0	17
43036	0	0
43037	0	0
43040	4500.0	7
43044	0	0
43045	0	0
43046	0	0
43050	1900.0	6
43054	137085.0	181
43055	6150.0	11
43056	0	0
43060	0	0
43061	250.0	1
43062	2900.0	6
43064	2250.0	4
43065	70586.0	95
43066	0	0
43067	0	0
43068	5800.0	13
43070	0	0
43071	0	0
43072	0	0
43074	700.0	3
43076	4800.0	3
43077	0	0
43078	250.0	1
43080	250.0	1
43081	32600.0	50
43082	30229.0	67
43084	0	0
43085	67000.0	114
430HH	0	0
43101	0	0
43102	0	0
43103	500.0	2
43105	5300.0	7
43106	0	0
43107	0	0
43109	0	0
43110	7200.0	15
43111	0	0
43112	0	0
43113	4700.0	10
43115	0	0
43116	0	0
43119	3650.0	3
43123	2899.0	6
43125	750.0	3
43126	0	0
43127	0	0
43128	0	0
43130	1550.0	4
43135	0	0
43136	0	0
43137	0	0
43138	0	0
43140	1750.0	4
43142	0	0
43143	1000.0	2
43144	0	0
43145	0	0
43146	0	0
43147	9400.0	24
43148	0	0
43149	0	0
43150	0	0
43151	0	0
43152	0	0
43153	0	0
43154	0	0
43155	0	0
43156	0	0
43157	0	0
43158	0	0
43160	0	0
43162	500.0	2
43164	2400.0	1
431HH	0	0
43201	45896.0	85
43202	30909.0	80
43203	11150.0	16
43204	23150.0	36
43205	8650.0	21
43206	59800.0	90
43207	1950.0	7
43209	364087.0	538
43210	1000.0	1
43211	2500.0	5
43212	70700.0	112
43213	13700.0	34
43214	51398.0	138
43215	362817.0	458
43217	0	0
43219	41475.0	41
43220	136217.0	221
43221	209239.0	365
43222	0	0
43223	600.0	2
43224	3750.0	12
43227	7950.0	5
43228	4750.0	9
43229	2750.0	8
43230	94750.0	111
43231	24200.0	16
43232	2000.0	6
43235	57500.0	123
43240	0	0
432HH	0	0
43302	13960.0	19
43310	0	0
43311	0	0
43314	0	0
43315	0	0
43316	0	0
43317	0	0
43318	0	0
43319	0	0
43320	0	0
43321	0	0
43322	0	0
43323	0	0
43324	0	0
43326	0	0
43331	0	0
43332	0	0
43333	0	0
43334	1500.0	6
43336	0	0
43337	0	0
43338	500.0	2
43340	0	0
43341	0	0
43342	0	0
43343	0	0
43344	300.0	1
43345	0	0
43347	0	0
43348	0	0
43350	0	0
43351	500.0	1
43356	0	0
43357	0	0
43358	0	0
43359	0	0
43360	0	0
433HH	0	0
43402	10000.0	17
43406	0	0
43407	0	0
43408	0	0
43410	0	0
43412	2500.0	2
43413	0	0
43416	2500.0	3
43420	0	0
43430	0	0
43431	500.0	1
43432	0	0
43435	0	0
43437	0	0
43438	0	0
43439	0	0
43440	500.0	1
43442	0	0
43443	0	0
43445	0	0
43447	0	0
43449	1000.0	1
43450	0	0
43451	0	0
43452	8350.0	14
43456	0	0
43457	0	0
43458	0	0
43460	500.0	1
43462	0	0
43464	0	0
43465	0	0
43466	0	0
43467	0	0
43468	0	0
43469	0	0
434HH	0	0
43501	0	0
43502	0	0
43504	0	0
43506	250.0	1
43511	0	0
43512	657.0	3
43515	200.0	1
43516	0	0
43517	0	0
43518	0	0
43521	0	0
43522	500.0	2
43524	0	0
43525	0	0
43526	0	0
43527	0	0
43528	19000.0	24
43529	0	0
43531	0	0
