zoneID	money	freq
43001	1750.0	4
43002	250.0	1
43003	250.0	1
43004	17006.0	35
43005	0	0
43006	0	0
43008	0	0
43009	0	0
43010	0	0
43011	1750.0	6
43013	0	0
43014	0	0
43015	36507.0	78
43016	65855.0	94
43017	258382.0	389
43018	0	0
43019	71550.0	74
43021	21200.0	33
43022	750.0	2
43023	86425.0	98
43025	2000.0	4
43026	58490.0	71
43028	0	0
43029	5050.0	3
43031	11575.0	16
43032	0	0
43033	0	0
43035	20750.0	32
43036	0	0
43037	0	0
43040	20399.0	29
43044	4350.0	9
43045	745.0	2
43046	1975.0	5
43050	144036.0	138
43054	200600.0	277
43055	25398.0	36
43056	4500.0	12
43060	0	0
43061	1500.0	4
43062	9875.0	20
43064	9611.0	19
43065	129235.0	201
43066	300.0	1
43067	0	0
43068	10475.0	21
43070	0	0
43071	0	0
43072	1550.0	6
43074	13850.0	15
43076	5760.0	10
43077	0	0
43078	23174.0	47
43080	0	0
43081	41440.0	73
43082	74175.0	139
43084	0	0
43085	58030.0	89
430HH	0	0
43101	0	0
43102	250.0	1
43103	1000.0	4
43105	650.0	3
43106	0	0
43107	0	0
43109	0	0
43110	3425.0	15
43111	0	0
43112	730.0	2
43113	13350.0	21
43115	0	0
43116	0	0
43119	4950.0	8
43123	6500.0	13
43125	16780.0	16
43126	0	0
43127	0	0
43128	750.0	2
43130	57920.0	76
43135	0	0
43136	0	0
43137	0	0
43138	0	0
43140	8050.0	8
43142	0	0
43143	21575.0	18
43144	0	0
43145	0	0
43146	450.0	3
43147	11075.0	24
43148	0	0
43149	0	0
43150	0	0
43151	0	0
43152	0	0
43153	250.0	1
43154	250.0	1
43155	0	0
43156	0	0
43157	0	0
43158	0	0
43160	13240.0	14
43162	550.0	2
43164	0	0
431HH	0	0
43201	17600.0	25
43202	651.0	2
43203	250.0	1
43204	14825.0	28
43205	5700.0	6
43206	33958.0	39
43207	11250.0	15
43209	185035.0	237
43210	500.0	1
43211	0	0
43212	51171.0	76
43213	16030.0	26
43214	12255.0	34
43215	377373.0	385
43217	0	0
43219	26225.0	30
43220	175730.0	254
43221	203070.0	306
43222	0	0
43223	0	0
43224	1647.0	6
43227	20040.0	24
43228	19480.0	20
43229	4900.0	14
43230	61385.0	89
43231	14450.0	16
43232	750.0	3
43235	78785.0	96
43240	1250.0	4
432HH	0	0
43302	5215.0	11
43310	0	0
43311	10500.0	13
43314	3000.0	4
43315	0	0
43316	0	0
43317	0	0
43318	0	0
43319	0	0
43320	0	0
43321	0	0
43322	0	0
43323	0	0
43324	200.0	1
43326	11717.0	19
43331	2000.0	2
43332	0	0
43333	0	0
43334	2777.0	6
43336	0	0
43337	500.0	2
43338	5740.0	12
43340	525.0	2
43341	0	0
43342	0	0
43343	0	0
43344	245.0	2
43345	0	0
43347	0	0
43348	0	0
43350	0	0
43351	12580.0	10
43356	500.0	2
43357	2750.0	4
43358	2000.0	2
43359	0	0
43360	950.0	4
433HH	0	0
43402	38275.0	48
43406	0	0
43407	0	0
43408	0	0
43410	2400.0	1
43412	250.0	1
43413	0	0
43416	0	0
43420	14500.0	19
43430	1500.0	3
43431	0	0
43432	1250.0	3
43435	0	0
43437	0	0
43438	0	0
43439	0	0
43440	500.0	2
43442	-40.0	1
43443	500.0	1
43445	500.0	1
43447	0	0
43449	500.0	1
43450	250.0	1
43451	0	0
43452	2900.0	10
43456	-30.0	1
43457	0	0
43458	0	0
43460	1740.0	4
43462	500.0	2
43464	0	0
43465	-100.0	1
43466	0	0
43467	0	0
43468	0	0
43469	0	0
434HH	0	0
43501	0	0
43502	5650.0	4
43504	250.0	1
43506	4550.0	17
43511	0	0
43512	15450.0	18
43515	-15.0	1
43516	0	0
43517	0	0
43518	500.0	1
43521	0	0
43522	250.0	1
43524	0	0
43525	0	0
43526	3500.0	9
43527	0	0
43528	27082.0	37
43529	0	0
43531	0	0
43532	0	0
43533	0	0
43534	0	0
43535	0	0
43536	0	0
43537	57350.0	118
43540	0	0
43541	0	0
43542	3330.0	6
43543	12490.0	10
43545	9015.0	10
43547	0	0
43548	0	0
43549	0	0
43551	50350.0	73
43553	0	0
43554	1250.0	4
43555	0	0
43556	0	0
43557	0	0
43558	2700.0	2
43560	50372.0	74
43565	0	0
43566	1250.0	3
43567	650.0	5
43569	500.0	1
43570	0	0
43571	4300.0	9
435HH	0	0
43602	0	0
43604	11233.0	12
43605	-10.0	1
43606	14725.0	23
43607	5700.0	8
43608	300.0	1
43609	0	0
43610	0	0
43611	1450.0	3
43612	1500.0	5
43613	1000.0	1
43614	9300.0	22
43615	43700.0	49
43616	9166.0	9
43617	4700.0	7
43618	500.0	1
43619	4650.0	8
43620	0	0
43623	16600.0	28
43624	300.0	1
436HH	0	0
43701	56671.0	80
43713	8655.0	22
43716	6700.0	17
43717	0	0
43718	75240.0	89
43719	2500.0	5
43720	0	0
43721	0	0
43722	0	0
43723	250.0	1
43724	175.0	2
43725	11675.0	16
43727	0	0
43728	200.0	1
43730	200.0	1
43731	0	0
43732	0	0
43734	2000.0	1
43735	0	0
43738	0	0
43739	500.0	1
43740	0	0
43746	0	0
43747	0	0
43748	0	0
43749	0	0
43754	0	0
43755	0	0
43756	250.0	1
43758	0	0
43760	0	0
43762	4000.0	8
43764	0	0
43766	0	0
43767	0	0
43768	0	0
43771	0	0
43772	0	0
43773	0	0
43777	0	0
43778	1336.0	2
43779	0	0
43780	2750.0	5
43782	0	0
43783	650.0	2
43787	4504.0	2
43788	0	0
43791	0	0
43793	14600.0	25
437HH	0	0
43802	0	0
43804	-25.0	1
43811	0	0
43812	21050.0	21
43821	2000.0	3
43822	250.0	1
43824	1175.0	4
43830	4150.0	6
43832	2400.0	3
43837	3350.0	8
43840	500.0	2
43842	0	0
43843	0	0
43844	0	0
43845	0	0
438HH	0	0
43901	0	0
43902	0	0
43903	0	0
43905	0	0
43906	15290.0	28
43907	6750.0	13
43908	1400.0	3
43909	0	0
43910	1400.0	2
43912	9700.0	23
43913	1100.0	2
43914	0	0
43915	40600.0	28
43917	500.0	1
43920	6100.0	12
43925	0	0
43926	0	0
43927	4000.0	11
43928	4680.0	12
43930	0	0
43932	0	0
43933	1680.0	5
43934	0	0
43935	250.0	2
43938	4500.0	6
43939	0	0
43940	40800.0	21
43942	45650.0	69
43943	2650.0	2
43944	400.0	1
43945	1000.0	1
43946	0	0
43947	30580.0	62
43948	0	0
43950	184670.0	247
43951	300.0	1
43952	108729.0	58
43953	40400.0	44
43961	0	0
43962	2315.0	3
43963	0	0
43964	6200.0	6
43967	0	0
43968	-20.0	1
43971	0	0
43972	0	0
43973	0	0
43974	0	0
43976	0	0
43977	3780.0	9
43981	250.0	1
43983	1000.0	4
43986	7050.0	18
43988	200.0	1
439HH	0	0
44001	2500.0	6
44003	2750.0	3
44004	15120.0	27
44010	3500.0	3
44011	7546.0	23
44012	13405.0	28
44017	1200.0	2
44021	750.0	2
44022	284174.0	311
44023	61155.0	76
44024	41179.0	49
44026	5100.0	10
44028	3400.0	3
44030	2713.0	6
44032	0	0
44035	930.0	4
44039	3400.0	8
44040	236407.0	207
44041	6250.0	9
44044	3850.0	8
44046	0	0
44047	1500.0	2
44048	-25.0	1
44049	0	0
44050	2500.0	4
44052	1515.0	4
44053	2000.0	2
44054	850.0	3
44055	500.0	1
44056	2000.0	4
44057	5250.0	9
44060	63840.0	76
44062	5300.0	4
44064	0	0
44065	1200.0	5
44067	4975.0	10
44070	1440.0	4
44072	21750.0	24
44074	1000.0	1
44076	1495.0	3
44077	23800.0	33
44080	0	0
44081	7300.0	8
44082	0	0
44084	3750.0	8
44085	0	0
44086	300.0	1
44087	1430.0	6
44089	15350.0	19
44090	0	0
44092	3250.0	10
44093	200.0	1
44094	50125.0	75
44095	1700.0	7
44099	0	0
440HH	0	0
44102	2701.0	7
44103	1700.0	4
44104	0	0
44105	-220.0	2
44106	32100.0	38
44107	10980.0	31
44108	41200.0	36
44109	0	0
44110	200.0	2
44111	1750.0	5
44112	225.0	2
44113	26650.0	32
44114	41765.0	72
44115	12921.0	39
44116	84885.0	122
44117	7200.0	7
44118	79350.0	140
44119	-30.0	1
44120	43483.0	56
44121	4150.0	3
44122	355526.0	302
44123	0	0
44124	157300.0	189
44125	21284.0	30
44126	74120.0	40
44127	0	0
44128	-300.0	4
44129	3325.0	5
44130	20979.0	22
44131	38800.0	47
44132	4850.0	7
44133	47575.0	37
44134	0	0
44135	3600.0	11
44136	10435.0	19
44137	-5.0	1
44138	2400.0	1
44139	110400.0	134
44140	52100.0	51
44141	816481.0	103
44142	200.0	1
44143	19202.0	42
44144	200.0	1
44145	81945.0	109
44146	6025.0	14
44147	14900.0	25
441HH	0	0
44201	250.0	1
44202	76108.0	74
44203	3150.0	4
44212	6900.0	9
44214	0	0
44215	250.0	1
44216	5000.0	6
44217	0	0
44221	2300.0	6
44223	4200.0	6
44224	22893.0	24
44230	2750.0	4
44231	-50.0	1
44233	4000.0	11
44234	3000.0	3
44235	500.0	2
44236	88581.0	111
44240	10900.0	21
44241	11700.0	20
44243	0	0
44250	0	0
44251	2375.0	9
44253	3400.0	3
44254	0	0
44255	240.0	2
44256	49838.0	83
44260	6150.0	10
44262	1000.0	1
44264	10700.0	14
44266	4465.0	8
44270	1400.0	6
44272	400.0	2
44273	3075.0	5
44275	0	0
44276	-25.0	1
44278	5279.0	5
44280	1550.0	4
44281	74665.0	95
44286	34700.0	30
44287	1000.0	4
44288	0	0
442HH	0	0
44301	230.0	2
44302	0	0
44303	9050.0	13
44304	500.0	1
44305	0	0
44306	-2300.0	1
44307	2500.0	2
44308	18500.0	15
44310	6250.0	6
44311	0	0
44312	25675.0	24
44313	40715.0	51
44314	250.0	1
44319	16250.0	15
44320	1550.0	3
44321	4850.0	12
44322	0	0
44333	60525.0	92
443HH	0	0
44401	5947.0	7
44402	700.0	2
44403	1250.0	2
44404	0	0
44405	0	0
44406	13875.0	32
44408	5450.0	13
44410	8850.0	15
44411	0	0
44412	0	0
44413	0	0
44417	0	0
44418	0	0
44420	4150.0	7
44423	0	0
44425	21900.0	14
44427	500.0	2
44428	500.0	1
44429	400.0	1
44430	0	0
44431	9000.0	23
44432	3500.0	5
44436	750.0	2
44437	0	0
44438	0	0
44440	0	0
44441	0	0
44442	1650.0	3
44443	0	0
44444	-75.0	2
44445	0	0
44446	250.0	1
44449	0	0
44450	0	0
44451	500.0	1
44452	11550.0	13
44454	0	0
44455	0	0
44460	17952.0	28
44470	1250.0	2
44471	250.0	1
44473	20950.0	23
44481	675.0	3
44483	12650.0	9
44484	19672.0	39
44485	0	0
44490	0	0
44491	0	0
444HH	0	0
44502	1406.0	2
44503	500.0	1
