zoneID	money	freq
73002	0	0
73003	109960.0	149
73004	0	0
73005	2750.0	7
73006	8350.0	5
73007	3450.0	6
73008	16882.0	35
73009	0	0
73010	5150.0	4
73011	0	0
73013	305273.0	409
73014	200.0	1
73015	1200.0	2
73016	250.0	1
73017	0	0
73018	3900.0	9
73020	1875.0	8
73021	0	0
73022	0	0
73024	0	0
73026	7750.0	15
73027	0	0
73028	0	0
73029	0	0
73030	7050.0	11
73031	0	0
73032	0	0
73033	0	0
73034	186400.0	275
73036	2475.0	5
73038	0	0
73040	1250.0	4
73041	0	0
73042	750.0	3
73043	0	0
73044	6200.0	11
73045	1750.0	4
73047	2400.0	1
73048	500.0	1
73049	14707.0	36
73050	0	0
73051	1650.0	6
73052	500.0	2
73053	500.0	1
73054	0	0
73055	17500.0	13
73056	500.0	2
73057	0	0
73058	0	0
73059	500.0	1
73061	500.0	2
73062	0	0
73063	0	0
73064	15350.0	17
73065	13445.0	14
73066	0	0
73067	1000.0	2
73068	1350.0	3
73069	25770.0	48
73071	42385.0	56
73072	205075.0	271
73073	1000.0	1
73074	250.0	1
73075	1550.0	6
73077	8900.0	12
73078	28200.0	21
73079	0	0
73080	10300.0	20
73082	2400.0	1
73084	0	0
73086	13500.0	17
73089	6950.0	16
73090	0	0
73092	0	0
73093	3915.0	6
73095	0	0
73096	13250.0	8
73097	0	0
73098	0	0
73099	44855.0	49
730HH	0	0
730XX	0	0
73102	115675.0	149
73103	44465.0	59
73104	10200.0	11
73105	34675.0	42
73106	35151.0	49
73107	37150.0	48
73108	6300.0	5
73109	10128.0	15
73110	12250.0	32
73111	15100.0	19
73112	106317.0	158
73114	34900.0	46
73115	10400.0	15
73116	418804.0	498
73117	0	0
73118	161920.0	207
73119	5300.0	3
73120	243980.0	390
73121	11650.0	14
73122	22050.0	28
73127	16305.0	19
73128	11801.0	16
73129	10050.0	10
73130	8525.0	23
73131	70150.0	85
73132	26285.0	54
73134	51705.0	43
73135	4300.0	9
73139	7250.0	13
73141	500.0	1
73142	250311.0	253
73145	0	0
73149	7200.0	6
73150	500.0	1
73151	15152.0	24
73159	10860.0	24
73160	18510.0	22
73162	68229.0	109
73165	1650.0	3
73169	1500.0	4
73170	50750.0	95
73173	3000.0	2
73179	3770.0	7
731HH	0	0
73401	49750.0	60
73425	0	0
73430	0	0
73432	0	0
73433	330.0	1
73434	0	0
73435	0	0
73437	0	0
73438	300.0	1
73439	3500.0	4
73440	0	0
73441	0	0
73442	0	0
73443	250.0	1
73444	0	0
73446	3500.0	5
73447	0	0
73448	1500.0	3
73449	0	0
73450	0	0
73453	0	0
73455	0	0
73456	0	0
73458	4700.0	9
73459	0	0
73460	300.0	1
73461	0	0
73463	1000.0	2
73481	13000.0	6
73487	0	0
73488	0	0
73491	0	0
734HH	0	0
73501	3800.0	8
73503	0	0
73505	33814.0	31
73507	13500.0	27
73520	0	0
73521	35925.0	85
73526	1000.0	3
73527	250.0	1
73528	1050.0	2
73529	0	0
73530	250.0	1
73531	0	0
73532	0	0
73533	16450.0	17
73537	0	0
73538	5100.0	3
73539	0	0
73540	0	0
73541	0	0
73542	8000.0	17
73543	0	0
73544	250.0	1
73546	500.0	1
73547	0	0
73548	0	0
73549	0	0
73550	0	0
73551	1550.0	3
73552	0	0
73553	0	0
73554	4700.0	4
73555	0	0
73556	0	0
73557	0	0
73559	0	0
73560	0	0
73561	0	0
73562	0	0
73564	0	0
73565	0	0
73566	400.0	2
73567	500.0	2
73568	1500.0	3
73569	0	0
73570	0	0
73571	0	0
73572	250.0	1
73573	500.0	1
735HH	0	0
735XX	0	0
73601	3950.0	10
73620	600.0	2
73622	0	0
73624	0	0
73625	0	0
73626	250.0	1
73627	0	0
73628	1500.0	3
73632	250.0	1
73638	0	0
73639	0	0
73641	1000.0	2
73642	250.0	1
73644	6000.0	10
73645	0	0
73646	0	0
73647	0	0
73650	0	0
73651	0	0
73654	800.0	3
73655	0	0
73658	0	0
73659	0	0
73660	0	0
73661	0	0
73662	250.0	1
73663	1750.0	6
73664	550.0	1
73666	0	0
73667	0	0
73668	0	0
73669	500.0	2
73673	1000.0	1
736HH	0	0
736XX	0	0
73701	24100.0	30
73703	145250.0	194
73716	0	0
73717	250.0	1
73718	250.0	1
73719	0	0
73720	0	0
73722	500.0	2
73724	0	0
73726	0	0
73727	0	0
73728	1000.0	1
73729	0	0
73730	0	0
73731	0	0
73733	0	0
73734	0	0
73735	0	0
73736	0	0
73737	950.0	4
73738	0	0
73739	0	0
73741	0	0
73742	0	0
73743	0	0
73744	0	0
73746	0	0
73747	0	0
73749	0	0
73750	8150.0	13
73753	0	0
73754	700.0	3
73755	0	0
73756	250.0	1
73757	0	0
73758	0	0
73759	487.0	9
73760	0	0
73761	0	0
73762	500.0	3
73763	0	0
73764	0	0
73766	500.0	1
73768	0	0
73771	0	0
73772	3500.0	8
73773	1750.0	4
737HH	0	0
73801	27150.0	30
73802	5800.0	10
73832	1500.0	2
73834	0	0
73835	200.0	1
73838	0	0
73840	200.0	1
73841	0	0
73842	0	0
73843	0	0
73844	1500.0	2
73847	0	0
73848	250.0	1
73851	0	0
73852	900.0	3
73853	0	0
73855	0	0
73857	0	0
73858	0	0
73859	0	0
73860	0	0
738HH	0	0
738XX	0	0
73901	0	0
73931	1000.0	3
73932	750.0	2
73933	1000.0	3
73937	0	0
73938	0	0
73939	0	0
73942	8900.0	10
73944	0	0
73945	1850.0	7
73946	0	0
73947	250.0	1
73949	0	0
73950	0	0
73951	0	0
739HH	0	0
739XX	0	0
74001	0	0
74002	250.0	1
74003	2000.0	6
74006	24700.0	56
74008	16100.0	19
74010	18445.0	19
74011	33900.0	33
74012	19545.0	34
74014	6980.0	13
74015	8050.0	7
74016	500.0	2
74017	26000.0	41
74020	1324.0	4
74021	500.0	1
74022	0	0
74023	300.0	6
74026	1000.0	2
74027	0	0
74028	1000.0	1
74029	12200.0	29
74030	0	0
74032	0	0
74033	0	0
74034	0	0
74035	250.0	1
74036	200.0	1
74037	20325.0	27
74038	0	0
74039	3000.0	4
74041	0	0
74042	0	0
74044	1000.0	3
74045	0	0
74047	1000.0	1
74048	500.0	1
74050	0	0
74051	500.0	1
74052	0	0
74053	0	0
74054	0	0
74055	12617.0	22
74056	15500.0	14
74058	500.0	2
74059	200.0	1
74060	0	0
74061	0	0
74062	2500.0	5
74063	14500.0	26
74066	11900.0	13
74068	0	0
74070	7050.0	12
74071	0	0
74072	0	0
74073	6300.0	5
74074	20200.0	35
74075	3200.0	7
74079	3900.0	3
74080	400.0	1
74081	0	0
74083	250.0	1
74084	0	0
74085	250.0	1
740HH	0	0
74103	41000.0	69
74104	30900.0	28
74105	242675.0	216
74106	1150.0	3
74107	7312.0	9
74108	0	0
74110	0	0
74112	9000.0	10
74114	268531.0	243
74115	4250.0	6
74116	4250.0	5
74117	1250.0	2
74119	77050.0	80
74120	9150.0	10
74126	1200.0	1
74127	7250.0	6
74128	1720.0	4
74129	170.0	2
74130	0	0
74131	0	0
74132	13354.0	20
74133	59625.0	75
74134	750.0	3
74135	18500.0	28
74136	250075.0	256
74137	154975.0	217
74145	5600.0	8
74146	30200.0	20
74301	8600.0	9
74330	250.0	1
74331	8000.0	15
74332	1500.0	3
74333	0	0
74335	0	0
74337	250.0	1
74338	1000.0	1
74339	1000.0	2
74340	0	0
74342	200.0	1
74343	250.0	1
74344	8640.0	10
74346	1850.0	5
74347	1200.0	1
74349	1000.0	1
74350	250.0	1
74352	1500.0	2
74354	8150.0	21
74358	0	0
74360	0	0
74361	4650.0	8
74363	7700.0	4
74364	0	0
74365	0	0
74366	0	0
74367	0	0
74368	0	0
74369	500.0	2
74370	9400.0	6
743HH	0	0
74401	11388.0	20
74403	35600.0	46
74421	250.0	1
74422	1000.0	2
74423	0	0
74425	0	0
74426	2050.0	6
74427	0	0
74428	0	0
74429	5550.0	11
74430	0	0
74431	0	0
74432	750.0	2
74434	2000.0	4
74435	4000.0	2
74436	3750.0	5
74437	12985.0	19
74438	0	0
74440	0	0
74441	1284.0	17
74442	0	0
74444	0	0
74445	39337.0	96
74446	0	0
74447	6650.0	13
74450	500.0	1
74451	250.0	1
74452	0	0
74454	0	0
74455	0	0
74456	0	0
74457	0	0
74459	0	0
74460	0	0
74461	0	0
74462	1000.0	2
74463	0	0
74464	10480.0	21
74467	-750.0	6
74468	0	0
74469	1000.0	1
74470	1150.0	4
74471	0	0
74472	0	0
744HH	0	0
744XX	0	0
74501	37315.0	38
74521	0	0
74522	0	0
74523	12100.0	10
74525	21000.0	11
74528	0	0
74530	0	0
74531	0	0
74533	500.0	1
74534	4000.0	4
74535	0	0
74536	4550.0	11
74538	1000.0	2
74540	0	0
74543	0	0
74545	0	0
74546	0	0
74547	7200.0	6
74549	0	0
74552	500.0	2
74553	0	0
74554	0	0
74555	0	0
74556	0	0
74557	0	0
74558	0	0
74560	0	0
74561	0	0
74562	0	0
74563	0	0
74565	0	0
74567	0	0
74569	500.0	1
74570	1000.0	1
74571	0	0
74572	0	0
74574	0	0
74576	250.0	1
74577	0	0
74578	3900.0	5
745HH	0	0
745XX	0	0
74601	0	0
74604	14500.0	26
74630	950.0	4
74631	4200.0	7
74632	0	0
74633	0	0
74636	750.0	3
74637	250.0	1
74640	0	0
74641	0	0
74643	0	0
74644	0	0
74646	0	0
74647	6000.0	17
74650	0	0
74651	0	0
74652	0	0
74653	500.0	2
746HH	0	0
74701	27050.0	34
74720	0	0
74721	0	0
74722	0	0
74723	0	0
74724	0	0
74726	0	0
74727	250.0	1
74728	0	0
74729	2500.0	5
74730	465.0	2
74731	0	0
74733	0	0
74734	0	0
74735	550.0	2
74736	0	0
74737	0	0
74738	500.0	1
74740	0	0
74741	0	0
74743	43788.0	56
74745	2500.0	6
74747	0	0
74748	0	0
74750	0	0
74753	0	0
74754	0	0
74755	0	0
74756	500.0	2
74759	0	0
