zoneID	money	freq
97001	0	0
97002	8450.0	24
97004	2000.0	8
97005	10350.0	8
97006	12450.0	25
97007	10650.0	20
97008	4650.0	6
97009	0	0
97011	0	0
97013	6743.0	16
97014	0	0
97015	3700.0	5
97016	0	0
97017	1500.0	4
97018	0	0
97019	500.0	1
97020	0	0
97021	0	0
97022	250.0	1
97023	900.0	3
97024	500.0	2
97026	0	0
97027	1000.0	2
97028	8250.0	8
97029	0	0
97030	750.0	2
97031	9150.0	11
97032	0	0
97033	0	0
97034	114371.0	164
97035	59876.0	89
97037	0	0
97038	900.0	3
97039	0	0
97040	0	0
97041	0	0
97042	0	0
97045	11405.0	14
97048	0	0
97049	0	0
97050	0	0
97051	1250.0	2
97053	0	0
97054	0	0
97055	7900.0	11
97056	8350.0	12
97058	1200.0	5
97060	1750.0	4
97062	31550.0	32
97063	0	0
97064	0	0
97065	0	0
97067	2600.0	7
97068	54020.0	79
97070	40100.0	42
97071	1450.0	6
97080	2500.0	7
970HH	0	0
970XX	0	0
97101	1000.0	2
97102	0	0
97103	17700.0	11
97106	1250.0	3
97107	0	0
97108	0	0
97109	0	0
97110	500.0	2
97111	0	0
97112	0	0
97113	1050.0	3
97114	2000.0	2
97115	7314.0	16
97116	12499.0	22
97117	0	0
97118	0	0
97119	8825.0	26
97121	0	0
97122	0	0
97123	17400.0	13
97124	24908.0	24
97125	0	0
97127	0	0
97128	7600.0	11
97130	750.0	2
97131	0	0
97132	31193.0	34
97133	300.0	1
97134	0	0
97135	0	0
97136	0	0
97137	0	0
97138	250.0	1
97140	4450.0	8
97141	13470.0	13
97143	0	0
97144	0	0
97145	1000.0	1
97146	875.0	2
97147	0	0
97148	3240.0	4
97149	0	0
971HH	0	0
971XX	0	0
97201	235947.0	256
97202	85881.0	111
97203	3000.0	6
97204	45756.0	68
97205	80804.0	119
97206	8215.0	19
97209	124798.0	127
97210	156047.0	221
97211	22115.0	50
97212	117613.0	162
97213	26450.0	38
97214	27050.0	53
97215	17550.0	31
97216	200.0	1
97217	17748.0	25
97218	2500.0	3
97219	156222.0	170
97220	7500.0	10
97221	163500.0	164
97222	10550.0	19
97223	13050.0	27
97224	17100.0	27
97225	72964.0	118
97227	3550.0	5
97229	119760.0	155
97230	11200.0	5
97231	13400.0	34
97232	24450.0	50
97233	750.0	2
97236	4800.0	2
97266	-250.0	2
97267	15950.0	16
972HH	0	0
97301	8950.0	15
97302	30850.0	62
97303	4750.0	8
97304	14200.0	17
97305	300.0	1
97306	7420.0	20
97321	4100.0	11
97324	0	0
97325	250.0	1
97326	0	0
97327	1000.0	1
97329	0	0
97330	29735.0	69
97331	1300.0	4
97333	20428.0	42
97338	900.0	4
97341	250.0	1
97342	0	0
97343	0	0
97344	0	0
97345	0	0
97346	0	0
97347	14850.0	11
97348	0	0
97350	0	0
97351	0	0
97352	0	0
97355	2250.0	6
97357	0	0
97358	1500.0	4
97360	0	0
97361	700.0	3
97362	0	0
97364	4800.0	2
97365	14860.0	24
97366	835.0	1
97367	650.0	3
97368	250.0	1
97370	2450.0	5
97371	0	0
97374	0	0
97375	0	0
97376	400.0	2
97377	0	0
97378	0	0
97380	17700.0	10
97381	1700.0	6
97383	3650.0	5
97385	0	0
97386	1000.0	5
97389	0	0
97390	0	0
97391	0	0
97392	2760.0	5
97394	0	0
97396	0	0
973HH	0	0
973XX	0	0
97401	47830.0	79
97402	11200.0	10
97403	34290.0	40
97404	3750.0	11
97405	75250.0	101
97406	250.0	1
97408	13600.0	11
97410	450.0	2
97411	2300.0	5
97412	0	0
97413	0	0
97414	0	0
97415	1950.0	4
97416	0	0
97417	0	0
97419	0	0
97420	13150.0	15
97423	0	0
97424	250.0	1
97425	0	0
97426	0	0
97427	0	0
97428	0	0
97429	0	0
97430	0	0
97431	200.0	1
97434	0	0
97435	0	0
