zoneID	money	freq
37010	2250.0	5
37012	0	0
37013	3900.0	5
37014	1250.0	2
37015	2050.0	5
37016	0	0
37018	0	0
37019	0	0
37020	11300.0	12
37022	1000.0	1
37023	250.0	1
37025	750.0	2
37026	500.0	1
37027	363822.0	479
37028	14400.0	46
37029	23750.0	25
37030	19270.0	20
37031	1500.0	4
37032	500.0	1
37033	7150.0	5
37034	2750.0	4
37035	0	0
37036	3650.0	7
37037	550.0	2
37040	6475.0	7
37042	2250.0	5
37043	13140.0	31
37046	22050.0	26
37047	1350.0	6
37048	3200.0	6
37049	6000.0	8
37050	0	0
37051	1000.0	1
37052	0	0
37055	23805.0	54
37057	0	0
37058	250.0	1
37059	1000.0	1
37060	5050.0	5
37061	400.0	1
37062	0	0
37064	226248.0	245
37066	109167.0	168
37067	69169.0	96
37069	115507.0	159
37072	24601.0	96
37073	2550.0	7
37074	3200.0	5
37075	117285.0	146
37076	25800.0	23
37078	0	0
37079	0	0
37080	1250.0	2
37082	1750.0	3
37083	8951.0	15
37085	9240.0	14
37086	1000.0	2
37087	22286.0	33
37090	19500.0	19
37091	10500.0	15
37095	0	0
37096	0	0
37097	0	0
37098	0	0
370HH	0	0
370XX	0	0
37101	2500.0	4
37110	1300.0	4
37115	4400.0	7
37118	3250.0	5
37122	16407.0	20
37127	27885.0	33
37128	31275.0	41
37129	86111.0	134
37130	90009.0	153
37134	746.0	2
37135	17600.0	13
37137	0	0
37138	33300.0	32
37140	0	0
37141	0	0
37142	0	0
37143	0	0
37144	250.0	1
37145	0	0
37146	1750.0	3
37147	0	0
37148	13950.0	26
37149	6900.0	8
37150	0	0
37151	0	0
37152	0	0
37153	2800.0	5
37160	71827.0	97
37166	1950.0	4
37167	23115.0	36
37171	0	0
37172	35850.0	67
37174	12850.0	11
37175	0	0
37178	200.0	1
37179	3900.0	5
37180	1500.0	2
37181	0	0
37183	23478.0	117
37184	2000.0	1
37185	3000.0	5
37186	0	0
37187	1800.0	6
37188	13000.0	14
37189	0	0
37190	500.0	1
37191	0	0
371HH	0	0
371XX	0	0
37201	11700.0	10
37203	123268.0	121
37204	71507.0	80
37205	548963.0	562
37206	3050.0	7
37207	2500.0	5
37208	2950.0	7
37209	10362.0	22
37210	5225.0	5
37211	27200.0	32
37212	46000.0	50
37213	0	0
37214	7000.0	11
37215	487493.0	546
37216	3750.0	5
37217	7700.0	9
37218	250.0	1
37219	28610.0	35
37220	62710.0	79
37221	63364.0	98
37228	24550.0	18
372HH	0	0
37301	0	0
37302	3045.0	10
37303	1300.0	5
37305	1800.0	6
37306	250.0	1
37307	750.0	2
37308	0	0
37309	1000.0	1
37310	18910.0	17
37311	40565.0	50
37312	115052.0	139
37313	0	0
37316	0	0
37317	0	0
37318	0	0
37321	9550.0	19
37322	500.0	2
37323	8710.0	11
37324	2234.0	6
37325	0	0
37326	0	0
37327	4219.0	8
37328	0	0
37329	0	0
37330	17334.0	33
37331	250.0	1
37332	300.0	1
37333	0	0
37334	47450.0	40
37335	0	0
37336	6400.0	11
37337	0	0
37338	0	0
37339	0	0
37340	500.0	1
37341	8640.0	14
37342	1000.0	2
37343	57250.0	101
37345	1000.0	1
37347	46075.0	58
37348	0	0
37350	82581.0	109
37351	0	0
37352	7600.0	6
37353	8193.0	16
37354	450.0	2
37355	10000.0	19
37356	17950.0	19
37357	5400.0	6
37359	300.0	1
37360	500.0	1
