zoneID	money	freq
75001	154150.0	125
75002	48646.0	63
75006	39500.0	44
75007	21000.0	38
75009	2335.0	5
75010	27320.0	36
75013	30683.0	60
75019	88862.0	108
75020	8635.0	28
75021	200.0	1
75022	81760.0	95
75023	22346.0	40
75024	129895.0	114
75025	39900.0	46
75028	45813.0	47
75032	53655.0	92
75034	227580.0	269
75035	20800.0	31
75038	113650.0	104
75039	75900.0	65
75040	1000.0	2
75041	7900.0	8
75042	1000.0	2
75043	20650.0	33
75044	1325.0	14
75048	12750.0	15
75050	11460.0	17
75051	450.0	3
75052	5200.0	15
75056	18850.0	41
75057	2300.0	7
75058	8150.0	12
75060	1600.0	3
75061	10850.0	12
75062	105266.0	101
75063	40740.0	66
75065	2700.0	8
75067	10237.0	18
75068	15452.0	34
75069	30406.0	55
75070	110354.0	149
75074	39210.0	41
75075	19650.0	53
75076	6900.0	12
75077	57210.0	80
75078	13695.0	25
75080	26043.0	48
75081	24065.0	46
75082	19800.0	36
75087	33650.0	49
75088	14500.0	18
75089	2235.0	6
75090	16550.0	17
75092	13403.0	23
75093	279725.0	412
75094	31900.0	32
75098	4250.0	12
750HH	0	0
75101	0	0
75102	0	0
75103	4850.0	13
75104	23025.0	70
75105	0	0
75110	11065.0	23
75114	0	0
75115	19830.0	30
75116	8400.0	9
75117	0	0
75119	16950.0	27
75121	0	0
75124	0	0
75125	0	0
75126	7412.0	20
75127	0	0
75132	0	0
75134	0	0
75135	1000.0	1
75137	11399.0	16
75140	0	0
75141	750.0	2
75142	12963.0	23
75143	250.0	1
75144	4000.0	7
75146	3800.0	3
75147	1750.0	5
75148	3250.0	8
75149	11435.0	16
75150	16975.0	29
75152	500.0	1
75153	0	0
75154	12850.0	25
75155	300.0	1
75158	750.0	2
75159	14150.0	17
75160	11150.0	27
75161	500.0	2
75163	500.0	2
75164	0	0
75165	12390.0	25
75166	0	0
75167	2400.0	7
75169	6949.0	9
75172	0	0
75173	2400.0	1
75180	0	0
75181	2950.0	6
75182	20950.0	46
75189	10281.0	8
751HH	0	0
75201	766615.0	694
75202	92175.0	83
75203	4900.0	7
75204	424444.0	326
75205	1406594.0	1407
75206	117933.0	182
75207	17500.0	19
75208	83423.0	90
75209	289840.0	322
75210	500.0	1
75211	1000.0	1
75212	2250.0	3
75214	289797.0	314
75215	0	0
75216	200.0	1
75217	0	0
75218	27250.0	57
75219	495405.0	524
75220	351216.0	342
75223	13400.0	32
75224	2250.0	6
75225	923698.0	1044
75226	7682.0	10
75227	9583.0	9
75228	14150.0	28
75229	440158.0	443
