zoneID	money	freq
84001	0	0
84002	0	0
84003	62537.0	75
84004	103451.0	84
84006	0	0
84007	0	0
84010	74369.0	82
84013	250.0	1
84014	5450.0	16
84015	1750.0	3
84017	250.0	1
84018	0	0
84020	63425.0	67
84021	2400.0	5
84022	0	0
84023	0	0
84024	0	0
84025	32700.0	30
84026	0	0
84027	0	0
84028	0	0
84029	0	0
84031	2100.0	7
84032	10525.0	11
84033	0	0
84034	0	0
84035	0	0
84036	0	0
84037	26300.0	36
84038	0	0
84039	0	0
84040	13850.0	14
84041	6200.0	14
84042	17450.0	23
84043	29900.0	31
84044	0	0
84046	0	0
84047	12350.0	9
84049	1250.0	3
84050	700.0	2
84051	0	0
84052	0	0
84053	0	0
84054	27614.0	23
84055	4500.0	7
84056	0	0
84057	5300.0	10
84058	14050.0	24
84060	93875.0	132
84061	0	0
84062	40450.0	32
84063	0	0
84064	0	0
84065	14100.0	13
84066	7205.0	8
84067	2950.0	6
84069	0	0
84070	8500.0	9
84071	0	0
84072	-50.0	1
84073	0	0
84074	1500.0	4
84075	3900.0	3
84076	0	0
84078	1925.0	6
84080	0	0
84082	0	0
84083	0	0
84084	3230.0	7
84085	0	0
84086	0	0
84087	200.0	1
84088	3900.0	4
84092	95000.0	127
84093	38450.0	45
84094	3500.0	4
84095	41551.0	41
84097	58700.0	39
84098	45800.0	47
840HH	0	0
840XX	0	0
84101	9975.0	13
84102	30400.0	30
84103	100491.0	104
84104	3150.0	3
84105	9500.0	18
84106	5050.0	10
84107	24900.0	20
84108	56575.0	75
84109	38350.0	35
84111	34350.0	45
84112	0	0
84113	0	0
84115	500.0	1
84116	10435.0	12
84117	40678.0	46
84118	250.0	1
84119	0	0
84120	2400.0	4
84121	77172.0	84
84123	8875.0	17
84124	54375.0	53
84128	0	0
84180	0	0
841HH	0	0
841XX	0	0
84301	0	0
84302	750.0	2
84304	0	0
84305	0	0
84306	0	0
84307	1250.0	2
84309	0	0
84310	0	0
84311	0	0
84312	0	0
84313	0	0
84314	0	0
84315	1500.0	2
84316	0	0
84317	0	0
84318	400.0	2
84319	500.0	2
84320	0	0
84321	3575.0	9
84324	250.0	1
84325	1750.0	4
84326	0	0
84327	0	0
84328	0	0
84329	0	0
84330	0	0
84331	0	0
84332	250.0	1
84333	0	0
84334	0	0
84335	500.0	2
84336	0	0
84337	750.0	2
84338	0	0
84339	1750.0	4
84340	0	0
84341	8700.0	8
843HH	0	0
843XX	0	0
84401	3850.0	6
84403	38100.0	39
84404	2500.0	5
84405	3400.0	6
84414	3317.0	5
844HH	0	0
84501	25900.0	52
84510	0	0
84511	0	0
84512	0	0
84513	0	0
84516	0	0
84518	600.0	2
84520	8800.0	21
84521	9600.0	4
84522	0	0
84523	600.0	2
84525	0	0
84526	3800.0	12
84528	3490.0	8
84529	0	0
84530	0	0
84531	0	0
84532	1000.0	1
84533	0	0
84534	0	0
84535	0	0
84536	0	0
84537	11050.0	12
84539	0	0
84540	0	0
84542	11215.0	27
845HH	0	0
84601	47150.0	45
84604	195922.0	158
84606	4952.0	6
84620	0	0
84621	500.0	1
84622	0	0
84623	0	0
84624	0	0
84626	0	0
84627	1000.0	1
84628	0	0
84629	0	0
84630	0	0
84631	1000.0	1
84632	2400.0	1
84633	0	0
84634	0	0
84635	0	0
84636	0	0
84637	0	0
84638	0	0
84639	0	0
84640	0	0
84642	0	0
84643	0	0
84645	550.0	2
84646	0	0
84647	6670.0	16
84648	1460.0	4
84649	0	0
84650	0	0
84651	1850.0	7
84652	0	0
84653	5300.0	9
84654	1000.0	1
84655	0	0
84656	0	0
84657	0	0
84660	19300.0	16
84662	0	0
84663	12550.0	17
84664	13200.0	17
84667	0	0
846HH	0	0
846XX	0	0
84701	0	0
84710	0	0
84711	0	0
84712	0	0
84713	2400.0	1
84714	0	0
84715	0	0
84716	0	0
84717	0	0
84718	0	0
84719	0	0
84720	3800.0	8
84722	0	0
84723	0	0
84724	0	0
84725	0.0	2
84726	0	0
84728	0	0
84729	0	0
84730	0	0
84731	0	0
84732	0	0
84733	500.0	1
84734	0	0
84735	0	0
84736	0	0
84737	8282.0	13
84738	3900.0	12
84739	0	0
84740	0	0
84741	0	0
84743	0	0
84744	0	0
84745	7450.0	5
84747	0	0
84749	0	0
84750	0	0
84751	0	0
84752	0	0
84753	0	0
84754	0	0
84755	0	0
84757	250.0	1
84758	0	0
84759	0	0
84760	0	0
84761	250.0	1
84762	0	0
84764	0	0
84765	21450.0	21
84766	0	0
84770	113388.0	83
84772	0	0
84773	0	0
84774	2400.0	1
84775	0	0
84776	0	0
84779	800.0	2
84780	12750.0	13
84781	0	0
84782	500.0	1
84783	0	0
84790	39665.0	68
847HH	0	0
847XX	0	0
