zcode,cntyfips,cntyname,state,statename,area,lat,lon,zpop,zinc,cpop,cinc,spop,sinc
NA,01,,01000,AL,50744.0,33.041578,-86.717606,,,,,4447100.0,18189.0
NA,02,,02000,AK,571951.26,61.593773,-149.689776,,,,,626932.0,22660.0
NA,04,,04000,AZ,113634.57,33.979048,-111.65443,,,,,5130632.0,20275.0
NA,05,,05000,AR,52068.17,34.984084,-92.487179,,,,,2673400.0,16904.0
NA,06,,06000,CA,155959.34,36.148666,-119.601508,,,,,33871648.0,22711.0
NA,08,,08000,CO,103717.53,39.279984,-105.358979,,,,,4301261.0,24049.0
NA,09,,09000,CT,4844.8,41.518148,-72.818249,,,,,3405565.0,28766.0
NA,10,,10000,DE,1953.56,39.185514,-75.504198,,,,,783600.0,23305.0
NA,11,,11000,DC,61.4,38.913611,-77.013222,,,,,572059.0,28659.0
NA,12,,12000,FL,53926.82,28.140923,-82.012976,,,,,15982378.0,21557.0
NA,13,,13000,GA,57906.14,32.95812,-83.603378,,,,,8186453.0,21154.0
NA,15,,15000,HI,6422.62,20.807317,-156.991487,,,,,1211537.0,21525.0
NA,16,,16000,ID,82747.21,44.390597,-114.909437,,,,,1293953.0,17841.0
NA,17,,17000,IL,55583.58,40.567457,-88.84758,,,,,12419293.0,23104.0
NA,18,,18000,IN,35866.9,40.070025,-86.272347,,,,,6080485.0,20397.0
NA,19,,19000,IA,55869.36,42.038326,-93.368434,,,,,2926324.0,19674.0
NA,20,,20000,KS,81814.88,38.442264,-97.399596,,,,,2688418.0,20506.0
NA,21,,21000,KY,39728.18,37.637259,-85.323884,,,,,4041769.0,18093.0
NA,22,,22000,LA,43561.85,30.883133,-91.731841,,,,,4468976.0,16912.0
NA,23,,23000,ME,30861.55,44.665264,-69.457397,,,,,1274923.0,19533.0
NA,24,,24000,MD,9773.82,39.114408,-76.782835,,,,,5296486.0,25614.0
NA,25,,25000,MA,7840.02,42.235405,-71.4023,,,,,6349097.0,25952.0
NA,26,,26000,MI,56803.82,43.403838,-84.679044,,,,,9938444.0,22168.0
NA,27,,27000,MN,79610.08,45.639952,-94.083065,,,,,4919479.0,23198.0
NA,28,,28000,MS,46906.96,32.700249,-89.609622,,,,,2844658.0,15853.0
NA,29,,29000,MO,68885.93,38.353271,-92.439467,,,,,5595211.0,19936.0
NA,30,,30000,MT,145552.43,46.939672,-110.568466,,,,,902195.0,17151.0
NA,31,,31000,NE,76872.41,41.242052,-98.411541,,,,,1711263.0,19613.0
NA,32,,32000,NV,109825.99,38.640903,-116.886031,,,,,1998257.0,21989.0
NA,33,,33000,NH,8968.1,43.309253,-71.540147,,,,,1235786.0,23844.0
NA,34,,34000,NJ,7417.34,40.291026,-74.50031,,,,,8414350.0,27006.0
NA,35,,35000,NM,121355.53,34.715946,-106.338771,,,,,1819046.0,17261.0
NA,36,,36000,NY,47213.79,42.155127,-75.164667,,,,,18976457.0,23389.0
NA,37,,37000,NC,48710.88,35.526729,-79.746124,,,,,8049313.0,20307.0
NA,38,,38000,ND,68975.93,47.534051,-99.93731,,,,,642200.0,17769.0
NA,39,,39000,OH,40948.38,40.406215,-82.720939,,,,,11353140.0,21003.0
NA,40,,40000,OK,68667.06,35.572285,-97.043688,,,,,3450654.0,17646.0
NA,41,,41000,OR,95996.79,44.380111,-121.878222,,,,,3421399.0,20940.0
NA,42,,42000,PA,44816.61,40.616374,-77.405999,,,,,12281054.0,20880.0
NA,44,,44000,RI,1044.93,41.7308,-71.455484,,,,,1048319.0,21688.0
NA,45,,45000,SC,30109.47,33.993155,-80.963451,,,,,4012012.0,18795.0
NA,46,,46000,SD,75884.64,44.247204,-99.195494,,,,,754844.0,17562.0
NA,47,,47000,TN,41217.12,35.822799,-86.090713,,,,,5689283.0,19393.0
NA,48,,48000,TX,261797.12,31.308052,-98.241319,,,,,20851820.0,19617.0
NA,49,,49000,UT,82143.65,39.845409,-111.785442,,,,,2233169.0,18185.0
NA,50,,50000,VT,9249.56,44.023032,-72.674848,,,,,608827.0,20625.0
NA,51,,51000,VA,39594.07,37.554963,-78.376114,,,,,7078515.0,23975.0
NA,53,,53000,WA,66544.06,47.31569,-121.10203,,,,,5894121.0,22973.0
NA,54,,54000,WV,24077.73,38.752463,-80.740921,,,,,1808344.0,16477.0
NA,55,,55000,WI,54310.1,44.190581,-89.568976,,,,,5363675.0,21271.0
NA,56,,56000,WY,97100.4,42.86833,-107.166807,,,,,493782.0,19134.0
NA,72,,72000,,3424.56,18.246715,-66.381305,,,,,3808610.0,8185.0
