zoneID,repVoteshare,totalVotes
01001,70.82,17208.0
01003,74.49,56480.0
01005,45.85,4116.0
01007,61.19,7101.0
01009,71.79,17973.0
01011,29.68,4904.0
01013,53.37,7803.0
01015,58.57,38909.0
01017,51.81,11834.0
01019,54.29,7823.0
01021,67.68,15092.0
01023,49.27,7374.0
01025,56.14,10752.0
01027,64.52,5883.0
01029,66.7,5092.0
01031,65.56,15434.0
01033,49.94,21532.0
01035,49.23,5551.0
01037,53.1,4567.0
01039,66.87,13613.0
01041,59.09,4795.0
01043,66.25,29525.0
01045,68.35,15806.0
01047,40.16,18464.0
01049,64.51,20285.0
01051,71.61,23804.0
01053,60.66,11660.0
01055,54.74,39348.0
01057,59.93,7808.0
01059,56.08,11103.0
01061,70.41,9559.0
01063,19.52,4396.0
01065,39.08,7731.0
01067,59.3,6932.0
01069,70.18,32057.0
01071,48.32,17906.0
01073,51.6,273763.0
01075,62.75,7249.0
01077,55.75,32137.0
01079,47.39,12185.0
01081,60.62,38264.0
01083,61.23,23634.0
01085,26.44,6243.0
01087,12.46,8831.0
01089,56.32,113318.0
01091,49.21,9608.0
01093,60.03,11756.0
01095,62.2,27989.0
01097,57.14,139745.0
01099,57.94,8951.0
01101,49.03,80328.0
01103,61.61,42681.0
01105,30.11,5787.0
01107,50.96,8540.0
01109,58.17,10544.0
01111,60.13,7919.0
01113,42.47,14775.0
01115,72.52,24090.0
01117,78.33,62128.0
01119,26.95,6088.0
01121,55.07,25451.0
01123,61.33,16253.0
01125,58.01,60114.0
01127,53.71,25641.0
01129,54.87,7596.0
01131,32.54,5126.0
01133,70.43,9318.0
02013,NA,NA
02016,NA,NA
02020,NA,NA
02050,NA,NA
02060,NA,NA
02068,NA,NA
02070,NA,NA
02090,NA,NA
02100,NA,NA
02110,NA,NA
02122,NA,NA
02130,NA,NA
02150,NA,NA
02164,NA,NA
02170,NA,NA
02180,NA,NA
02185,NA,NA
02188,NA,NA
02201,NA,NA
02220,NA,NA
02232,NA,NA
02240,NA,NA
02261,NA,NA
02270,NA,NA
02280,NA,NA
02282,NA,NA
02290,NA,NA
04001,31.35,19433.0
04003,57.64,33204.0
04005,46.41,40883.0
04007,54.32,17736.0
04009,64.16,9664.0
04011,57.11,2960.0
04012,58.97,4483.0
04013,55.38,899808.0
04015,58.26,44141.0
04017,51.22,25147.0
04019,45.76,287640.0
04021,50.59,41290.0
04023,38.99,8893.0
04025,62.52,68082.0
04027,56.58,28652.0
05001,53.82,6372.0
05003,47.68,8271.0
05005,59.41,16708.0
05007,66.85,53646.0
05009,65.6,13635.0
05011,45.8,3979.0
05013,52.59,2185.0
05015,60.71,9590.0
05017,35.68,4452.0
05019,44.76,8626.0
05021,38.99,5900.0
05023,58.17,10207.0
05025,54.27,3181.0
05027,55.63,9307.0
05029,50.35,7234.0
05031,49.56,25157.0
05033,63.21,17625.0
05035,44.77,13234.0
05037,49.49,6215.0
05039,47.88,3325.0
05041,36.61,4495.0
05043,47.39,5922.0
05045,57.33,29216.0
05047,55.07,6140.0
05049,50.75,4108.0
05051,54.66,35935.0
05053,56.44,6013.0
05055,47.99,12484.0
05057,45.27,7289.0
05059,47.71,10981.0
05061,53.0,4459.0
05063,54.42,11594.0
05065,47.07,5032.0
05067,38.44,6072.0
05069,33.1,27201.0
05071,52.79,7161.0
05073,45.99,3383.0
05075,44.65,6040.0
05077,33.13,4121.0
05079,43.81,3546.0
05081,44.19,5263.0
05083,57.75,8096.0
