zoneID,repVoteshare,totalVotes
01000,59.4365,28107.1642
02000,63.4947,7639.2975
04000,54.5671,129735.0222
05000,55.8297,13614.8578
06000,50.4139,212354.069
08000,58.0286,32843.7487
09000,42.3125,195211.9167
10000,47.6589,123913.7778
11000,8.2033,25753.0741
12000,58.3595,108731.0099
13000,61.1254,20593.304
15000,32.06,83368.8
16000,72.904,13296.2121
17000,54.7757,50780.4444
18000,60.7521,26878.1196
19000,52.2739,14678.7677
20000,71.1521,11097.9238
21000,62.2252,14351.9139
22000,59.4712,29528.7656
23000,46.1921,44244.4167
24000,52.5168,97760.4722
25000,34.676,207056.119
26000,52.3797,56521.0
27000,52.4192,31331.1916
28000,55.873,13968.2683
29000,60.5614,23134.6532
30000,65.6453,8046.0952
31000,73.5791,8159.448
32000,65.6182,47184.4118
33000,47.479,65259.6333
34000,45.6986,169319.9048
35000,52.0655,22071.3838
36000,49.2461,117494.4409
37000,56.0689,35743.5267
38000,63.0043,5771.761
39000,57.3604,60750.9697
40000,66.5225,18011.4632
41000,57.8368,48135.3148
42000,56.212,82156.8768
44000,34.2329,77526.2941
45000,52.6035,35842.4453
46000,60.222,5487.1667
47000,58.1474,24958.7684
48000,68.4005,28735.1667
49000,75.8736,30470.8966
50000,40.6636,22182.4524
51000,54.8603,23972.8883
53000,54.924,71652.9487
54000,57.2565,12833.103
55000,48.8326,39717.7361
56000,73.2074,10383.1449
72000,NA,NA
