PRESIDENT 1996
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,New Jersey,19961105,N/A,ATLANTIC,County,"83,601","29,538","Dole, Robert",Challenger,"44,434","Clinton, William Jefferson",Incumbent,Reform,"8,261","Perot, Ross",Challenger,"1,368","14,896",D,35.33,53.15,9.88,1.64,39.93,60.07,,,
President,New Jersey,19961105,N/A,BERGEN,County,"362,887","141,164","Dole, Robert",Challenger,"191,085","Clinton, William Jefferson",Incumbent,Reform,"25,512","Perot, Ross",Challenger,"5,126","49,921",D,38.90,52.66,7.03,1.41,42.49,57.51,,,
President,New Jersey,19961105,N/A,BURLINGTON,County,"163,809","57,337","Dole, Robert",Challenger,"85,086","Clinton, William Jefferson",Incumbent,Reform,"18,407","Perot, Ross",Challenger,"2,979","27,749",D,35.00,51.94,11.24,1.82,40.26,59.74,,,
President,New Jersey,19961105,N/A,CAMDEN,County,"189,723","52,791","Dole, Robert",Challenger,"114,962","Clinton, William Jefferson",Incumbent,Reform,"17,433","Perot, Ross",Challenger,"4,537","62,171",D,27.83,60.59,9.19,2.39,31.47,68.53,,,
President,New Jersey,19961105,N/A,CAPE MAY,County,"45,036","19,357","Dole, Robert",Challenger,"19,849","Clinton, William Jefferson",Incumbent,Reform,"4,978","Perot, Ross",Challenger,852,492,D,42.98,44.07,11.05,1.89,49.37,50.63,,,
President,New Jersey,19961105,N/A,CUMBERLAND,County,"46,533","14,744","Dole, Robert",Challenger,"25,444","Clinton, William Jefferson",Incumbent,Reform,"5,348","Perot, Ross",Challenger,997,"10,700",D,31.69,54.68,11.49,2.14,36.69,63.31,,,
President,New Jersey,19961105,N/A,ESSEX,County,"254,196","65,162","Dole, Robert",Challenger,"175,368","Clinton, William Jefferson",Incumbent,Reform,"9,513","Perot, Ross",Challenger,"4,153","110,206",D,25.63,68.99,3.74,1.63,27.09,72.91,,,
President,New Jersey,19961105,N/A,GLOUCESTER,County,"100,495","32,116","Dole, Robert",Challenger,"51,915","Clinton, William Jefferson",Incumbent,Reform,"14,361","Perot, Ross",Challenger,"2,103","19,799",D,31.96,51.66,14.29,2.09,38.22,61.78,,,
President,New Jersey,19961105,N/A,HUDSON,County,"166,009","38,288","Dole, Robert",Challenger,"116,121","Clinton, William Jefferson",Incumbent,Reform,"8,965","Perot, Ross",Challenger,"2,635","77,833",D,23.06,69.95,5.40,1.59,24.80,75.20,,,
President,New Jersey,19961105,N/A,HUNTERDON,County,"51,727","26,379","Dole, Robert",Challenger,"18,446","Clinton, William Jefferson",Incumbent,Reform,"5,686","Perot, Ross",Challenger,"1,216","7,933",R,51.00,35.66,10.99,2.35,58.85,41.15,,,
President,New Jersey,19961105,N/A,MERCER,County,"131,726","40,559","Dole, Robert",Challenger,"77,641","Clinton, William Jefferson",Incumbent,Reform,"10,536","Perot, Ross",Challenger,"2,990","37,082",D,30.79,58.94,8.00,2.27,34.31,65.69,,,
President,New Jersey,19961105,N/A,MIDDLESEX,County,"258,386","82,433","Dole, Robert",Challenger,"145,201","Clinton, William Jefferson",Incumbent,Reform,"24,643","Perot, Ross",Challenger,"6,109","62,768",D,31.90,56.20,9.54,2.36,36.21,63.79,,,
President,New Jersey,19961105,N/A,MONMOUTH,County,"248,961","99,975","Dole, Robert",Challenger,"120,414","Clinton, William Jefferson",Incumbent,Reform,"22,754","Perot, Ross",Challenger,"5,818","20,439",D,40.16,48.37,9.14,2.34,45.36,54.64,,,
President,New Jersey,19961105,N/A,MORRIS,County,"195,745","95,830","Dole, Robert",Challenger,"81,092","Clinton, William Jefferson",Incumbent,Reform,"15,299","Perot, Ross",Challenger,"3,524","14,738",R,48.96,41.43,7.82,1.80,54.17,45.83,,,
President,New Jersey,19961105,N/A,OCEAN,County,"202,976","82,830","Dole, Robert",Challenger,"94,243","Clinton, William Jefferson",Incumbent,Reform,"22,864","Perot, Ross",Challenger,"3,039","11,413",D,40.81,46.43,11.26,1.50,46.78,53.22,,,
President,New Jersey,19961105,N/A,PASSAIC,County,"152,951","53,594","Dole, Robert",Challenger,"85,879","Clinton, William Jefferson",Incumbent,Reform,"10,944","Perot, Ross",Challenger,"2,534","32,285",D,35.04,56.15,7.16,1.66,38.43,61.57,,,
President,New Jersey,19961105,N/A,SALEM,County,"25,992","9,294","Dole, Robert",Challenger,"12,044","Clinton, William Jefferson",Incumbent,Reform,"4,124","Perot, Ross",Challenger,530,"2,750",D,35.76,46.34,15.87,2.04,43.56,56.44,,,
President,New Jersey,19961105,N/A,SOMERSET,County,"112,929","51,869","Dole, Robert",Challenger,"50,673","Clinton, William Jefferson",Incumbent,Reform,"8,377","Perot, Ross",Challenger,"2,010","1,196",R,45.93,44.87,7.42,1.78,50.58,49.42,,,
President,New Jersey,19961105,N/A,SUSSEX,County,"54,183","26,746","Dole, Robert",Challenger,"19,525","Clinton, William Jefferson",Incumbent,Reform,"6,705","Perot, Ross",Challenger,"1,207","7,221",R,49.36,36.04,12.37,2.23,57.80,42.20,,,
President,New Jersey,19961105,N/A,UNION,County,"190,241","65,912","Dole, Robert",Challenger,"108,102","Clinton, William Jefferson",Incumbent,Reform,"12,432","Perot, Ross",Challenger,"3,795","42,190",D,34.65,56.82,6.53,1.99,37.88,62.12,,,
President,New Jersey,19961105,N/A,WARREN,County,"37,701","17,160","Dole, Robert",Challenger,"14,805","Clinton, William Jefferson",Incumbent,Reform,"4,992","Perot, Ross",Challenger,744,"2,355",R,45.52,39.27,13.24,1.97,53.68,46.32,,,
,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepDemPluralityVotesAll,RepDemPluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,New Jersey,"3,075,807","1,103,078","1,652,329","262,134","58,266","549,251",D,"549,251",D,35.86,53.72,8.52,1.89,40.03,59.97
,
,
,
PRESIDENT 1996
,
